id,Title,Content,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Attachment Filename","Attachment Path","Attachment ID","Attachment Title","Attachment Caption","Attachment Description","Attachment Alt Text",Categories,Tags,Date,"Post Type",Permalink
70,"DECEMBER 4TH","<h4></h4>
&nbsp;
<h4>Cristo's Original Soundtrack to the AMC/C4 series HUMANS will be released this December by UK label Silva Screen Records.</h4>",https://freerunartists.com/wp-content/uploads/2017/09/d2272525cff3ed8b-ScreenShot2015-11-05at31138PM.png|https://freerunartists.com/wp-content/uploads/2015/12/d2272525cff3ed8b-ScreenShot2015-11-05at31138PM.png,d2272525cff3ed8b-ScreenShot2015-11-05at31138PM.png|d2272525cff3ed8b-ScreenShot2015-11-05at31138PM.png,/home/freeruna/public_html/wp-content/uploads/2017/09/d2272525cff3ed8b-ScreenShot2015-11-05at31138PM.png|/home/freeruna/public_html/wp-content/uploads/2015/12/d2272525cff3ed8b-ScreenShot2015-11-05at31138PM.png,1750|92,d2272525cff3ed8b-ScreenShot2015-11-05at31138PM|d2272525cff3ed8b-ScreenShot2015-11-05at31138PM,|,|,|,https://freerunartists.com/wp-content/uploads/2017/09/d2272525cff3ed8b-ScreenShot2015-11-05at31138PM.png,,,,,,,,,Uncategorised,,20151211,post,https://freerunartists.com/december-4th/
80,"SÉRIE NOIRE season 1 now on Netflix with English subtitles","<a href=""https://www.netflix.com/title/80033032?locale=en-CA"">Just follow this link</a>",https://freerunartists.com/wp-content/uploads/2017/09/dc86d9b3a261e833-ScreenShot2015-10-02at120906PM.png|https://freerunartists.com/wp-content/uploads/2015/12/dc86d9b3a261e833-ScreenShot2015-10-02at120906PM.png,dc86d9b3a261e833-ScreenShot2015-10-02at120906PM.png|dc86d9b3a261e833-ScreenShot2015-10-02at120906PM.png,/home/freeruna/public_html/wp-content/uploads/2017/09/dc86d9b3a261e833-ScreenShot2015-10-02at120906PM.png|/home/freeruna/public_html/wp-content/uploads/2015/12/dc86d9b3a261e833-ScreenShot2015-10-02at120906PM.png,1751|81,dc86d9b3a261e833-ScreenShot2015-10-02at120906PM|dc86d9b3a261e833-ScreenShot2015-10-02at120906PM,|,|,|,https://freerunartists.com/wp-content/uploads/2017/09/dc86d9b3a261e833-ScreenShot2015-10-02at120906PM.png,,,,,,,,,Uncategorised,,20151210,post,https://freerunartists.com/80/
98,"HUMANS OST coming very soon....","<h4></h4>
&nbsp;
<h4>Cristo's original score to AMC/C4's HUMANS will be released by Silva Screen Records (UK).</h4>
<h4>A pre-order will be put in place very soon, please stay tuned!</h4>",https://freerunartists.com/wp-content/uploads/2017/09/ccd3c2f4b6ed9979-HUMANSheadscover1.jpg|https://freerunartists.com/wp-content/uploads/2015/08/ccd3c2f4b6ed9979-HUMANSheadscover.jpg|https://freerunartists.com/wp-content/uploads/2015/08/ccd3c2f4b6ed9979-HUMANSheadscover1.jpg,ccd3c2f4b6ed9979-HUMANSheadscover1.jpg|ccd3c2f4b6ed9979-HUMANSheadscover.jpg|ccd3c2f4b6ed9979-HUMANSheadscover1.jpg,/home/freeruna/public_html/wp-content/uploads/2017/09/ccd3c2f4b6ed9979-HUMANSheadscover1.jpg|/home/freeruna/public_html/wp-content/uploads/2015/08/ccd3c2f4b6ed9979-HUMANSheadscover.jpg|/home/freeruna/public_html/wp-content/uploads/2015/08/ccd3c2f4b6ed9979-HUMANSheadscover1.jpg,1752|100|105,ccd3c2f4b6ed9979-HUMANSheadscover1|ccd3c2f4b6ed9979-HUMANSheadscover|ccd3c2f4b6ed9979-HUMANSheadscover,||,||,||,https://freerunartists.com/wp-content/uploads/2017/09/ccd3c2f4b6ed9979-HUMANSheadscover1.jpg,,,,,,,,,Uncategorised,,20150802,post,https://freerunartists.com/humans-ost-coming-very-soon/
101,"HUMANS sets new drama record for C4","[embed]https://youtu.be/wczHyjfTaqY[/embed]

<a href=""https://deadline.com/2015/06/humans-record-ratings-drama-series-channel-4-amc-1201442829/"" target=""_blank"">Deadline Hollywood </a>-

<em><a id=""auto-tag_humans"" href=""https://deadline.com/tag/humans/"" data-tag=""humans"">Humans</a></em>, the eight-part sci-fi co-production from <a id=""auto-tag_amc"" href=""https://deadline.com/tag/amc/"" data-tag=""amc"">AMC</a> and the UK’s <a id=""auto-tag_channel-4"" href=""https://deadline.com/tag/channel-4/"" data-tag=""channel-4"">Channel 4</a>, debuted in Britain on Sunday night, setting a new record for the network. With 4M viewers and an 18.3% share, it became Channel 4’s biggest original drama series launch ever, and more than doubled the slot average — up 166% for volume and 183% for share. Twitter activity was sci-high for the show which kicked off at 9PM local, and reviews have been largely positive — <em>The Guardian</em> is calling it “a <a href=""https://www.theguardian.com/tv-and-radio/2015/jun/15/humans-review-sci-fi-high-energy-thriller"" target=""_blank"" rel=""nofollow"">clever</a>, high-energy thriller”. U.S. viewers will get the chance to check it out beginning June 28 on AMC.",https://freerunartists.com/wp-content/uploads/2017/09/humans-sets-new-drama-record-for.jpg,humans-sets-new-drama-record-for.jpg,/home/freeruna/public_html/wp-content/uploads/2017/09/humans-sets-new-drama-record-for.jpg,1708,"HUMANS sets new drama record for C4",,,,https://freerunartists.com/wp-content/uploads/2017/09/humans-sets-new-drama-record-for.jpg,,,,,,,,,Uncategorised,,20150614,post,https://freerunartists.com/humans-sets-new-drama-record-for-c4/
110,"HUMANS premieres June 14th at 9pm on C4, UK and June 28th at 9/8c on AMC, N-America","<a id=""auto-tag_amc"" href=""https://variety.com/t/amc/"" data-tag=""amc""></a>

&nbsp;

<a id=""auto-tag_amc"" href=""https://variety.com/t/amc/"" data-tag=""amc"">AMC</a>, which on Sunday will say goodbye to “Mad Men,” has set an early-summer premiere date for eight-part drama series “<a id=""auto-tag_humans"" href=""https://variety.com/t/humans/"" data-tag=""humans"">Humans</a>.”

<section class=""blogs-content content-editor"">
<div class=""variety-content-wrapper"">

Produced in conjunction with the U.K.’s Channel 4 and Kudos, the makers of “Utopia” and “Broadchurch,” “Humans” will bow Sunday, June 28, at 9.

Set in suburban London, “Humans” takes place in a parallel present where the latest must-have gadget for any busy family is a Synth – a highly developed, artificially intelligent servant eerily similar to its living counterpart.  Penned by British writing partners Sam Vincent and Jonathan Brackley (“Spooks,”<em> “</em>Spooks: The Greater Good”) and based on the Swedish sci-fi drama “Real Humans,” the series explores the emotional impact that comes as the lines between humans and machines become increasingly blurred.

“Humans” stars Oscar winner William Hurt, Katherine Parkinson, Gemma Chan, Tom Goodman-Hill, Lucy Carless, Colin Morgan, Pixie Davis, Ivanno Jeremiah, Theo Stevenson, Emily Berrington, Neil Maskell, Will Tudor, Rebecca Front, Danny Webb and Sope Dirisu.

Produced by Kudos in association with Matador <a id=""itxthook0"" class=""itxtnewhook itxthook"" href=""https://variety.com/2015/tv/news/amc-sets-premiere-date-for-drama-series-humans-1201496093/#"" rel=""nofollow""><span id=""itxthook0p"" class=""itxtrst itxtrstspan itxtnowrap""><span id=""itxthook0w"" class=""itxtrst itxtrstspan itxtnowrap itxtnewhookspan"">Films</span><img id=""itxthook0icon"" class=""itxtrst itxtrstimg itxthookicon"" src=""https://images.intellitxt.com/ast/adTypes/icon1.png"" alt="""" /></span></a> (“Real Humans”).  Sam Donovan (“Utopia”) is the director; executive <a class=""auto-link"" title=""producers"" href=""https://variety411.com/us/los-angeles/producers/"" target=""_blank"" rel=""nofollow noopener"">producers</a> are Jane Featherstone (“Broadchurch,” “Utopia,” “The Hour”<em>)</em> and Derek Wax (“The Hour,” “Occupation,” “Lip Service”) for Kudos, with Chris Fry (“The Smoke”) producing for Kudos and Henrik Widman and Lars Lundström for Matador Films. The series was commissioned for Channel 4 by Piers Wenger, Beth Willis and Simon Maxwell, and Kristin Jones and Joel Stillerman for AMC.

Distribution will be handled by Endemol Shine International.

(<a href=""https://variety.com/2015/tv/news/amc-sets-premiere-date-for-drama-series-humans-1201496093/"">Variety</a>)

</div>
</section>",https://freerunartists.com/wp-content/uploads/2017/09/6ab3b0944221ee20-IMG_4846.jpg,6ab3b0944221ee20-IMG_4846.jpg,/home/freeruna/public_html/wp-content/uploads/2017/09/6ab3b0944221ee20-IMG_4846.jpg,1753,6ab3b0944221ee20-IMG_4846,,,,https://freerunartists.com/wp-content/uploads/2017/09/6ab3b0944221ee20-IMG_4846.jpg,,,,,,,,,Uncategorised,,20150519,post,https://freerunartists.com/humans-premieres-june-14th-at-9pm-on-c4-uk-and-june-28th-at-98c-on-amc-n-america/
115,,[embed]https://youtu.be/vc7k-DwrITI[/embed],https://freerunartists.com/wp-content/uploads/2017/09/115.jpg,115.jpg,/home/freeruna/public_html/wp-content/uploads/2017/09/115.jpg,1709,,,,,https://freerunartists.com/wp-content/uploads/2017/09/115.jpg,,,,,,,,,Uncategorised,,20150510,post,https://freerunartists.com/115/
117,"Record Store Day April 18th - SOLD OUT!!","&nbsp;

<section class=""blogs-content content-editor"">
<h3></h3>
<h3>It's a sad but also pretty cool news: our limited edition Utopia 2 grass green double vinyl sold out in all stores this last Record Store Day - bummer!</h3>
<h3>We are moved by your support, big THANKS everyone!</h3>
</section>",https://freerunartists.com/wp-content/uploads/2017/09/176ba39defce6d96-UTOPIA2-cover-RGB.jpg,176ba39defce6d96-UTOPIA2-cover-RGB.jpg,/home/freeruna/public_html/wp-content/uploads/2017/09/176ba39defce6d96-UTOPIA2-cover-RGB.jpg,1754,176ba39defce6d96-UTOPIA2-cover-RGB,,,,https://freerunartists.com/wp-content/uploads/2017/09/176ba39defce6d96-UTOPIA2-cover-RGB.jpg,,,,,,,,,Uncategorised,,20150415,post,https://freerunartists.com/record-store-day-april-18th-sold-out/
120,"Coming this summer",https://youtu.be/ZrkN5oUm-IU,https://freerunartists.com/wp-content/uploads/2017/09/coming-this-summer.jpg,coming-this-summer.jpg,/home/freeruna/public_html/wp-content/uploads/2017/09/coming-this-summer.jpg,1710,"Coming this summer",,,,https://freerunartists.com/wp-content/uploads/2017/09/coming-this-summer.jpg,,,,,,,,,Uncategorised,,20150330,post,https://freerunartists.com/coming-this-summer/
122,"Son of a gun !! Cristo wins at the Music & Sound Awards 2015 (UK) !!","&nbsp;

&nbsp;

<section class=""blogs-content content-editor"">
<p class=""center"">(This award business is so nerv wrecking, I think we all lost a few pounds today...)</p>

<h3 class=""center"">THANK YOU,</h3>
<h4 class=""center"">Music &amp; Sound Awards Jury in London</h4>
<h4 class=""center"">for crowning Cristo in this year's TV scoring category!</h4>
<h4 class=""center"">We are very honoured to receive this recognition by the committee.</h4>
</section>",https://freerunartists.com/wp-content/uploads/2017/09/53436dee41d15c79-ScreenShot2015-03-04at45140PM.png,53436dee41d15c79-ScreenShot2015-03-04at45140PM.png,/home/freeruna/public_html/wp-content/uploads/2017/09/53436dee41d15c79-ScreenShot2015-03-04at45140PM.png,1755,53436dee41d15c79-ScreenShot2015-03-04at45140PM,,,,https://freerunartists.com/wp-content/uploads/2017/09/53436dee41d15c79-ScreenShot2015-03-04at45140PM.png,,,,,,,,,Uncategorised,,20150304,post,https://freerunartists.com/son-of-a-gun-cristo-wins-at-the-music-sound-awards-2015-uk/
124,"Cristo's Utopia Score again nominated - Fingers crossed for March 4th!","<h1></h1>
&nbsp;

<section class=""blogs-content content-editor"">
<h4>The 2015 Music and Sound Awards finalists have been announced with The Grand Budapest Hotel (Alexandre Desplat), The Hobbit: The Desolation of Smaug (Howard Shore), Sherlock (David Arnold &amp; Michael Price) and Utopia (Cristobal Tapia de Veer) among this year’s nominees.</h4>
Now in its fourth year, the Music and Sound Awards centre on the crafts of music composition, supervision, and sound design in the film, television advertising and gaming productions.

A panel of twenty-one industry figures picked out the nominees earlier this month. The winners will be announced at a ceremony on Wednesday 4th March at Café de Paris in London.

For more info: https://www.masawards.com/uk/2015finalists.php

</section>",https://freerunartists.com/wp-content/uploads/2017/09/92d6d3bc2cd9dda3-ScreenShot2015-02-20at95551PM.png,92d6d3bc2cd9dda3-ScreenShot2015-02-20at95551PM.png,/home/freeruna/public_html/wp-content/uploads/2017/09/92d6d3bc2cd9dda3-ScreenShot2015-02-20at95551PM.png,1757,92d6d3bc2cd9dda3-ScreenShot2015-02-20at95551PM,,,,https://freerunartists.com/wp-content/uploads/2017/09/92d6d3bc2cd9dda3-ScreenShot2015-02-20at95551PM.png,,,,,,,,,Uncategorised,,20150220,post,https://freerunartists.com/cristos-utopia-score-again-nominated-fingers-crossed-for-march-4th/
